Age range,Age,Gender,Occupation,Marital status ,Income,Monthly Household income,"Location e.g Lagos, Nigeria",Device type,Most preferred delivery method,Are you a farmer?,"If yes, What farming system do you have?",What farm produce do you buy or sell? (You can give a list),Would you like an online platform where you can buy or sell farm products and not feel cheated?,Do you know of any platform that provides you with the service mentioned above?,"If yes, please give a name",What features would you be looking forward to on such a digital platform?
18 - 25,21,Female,Student,Single,#5000,"< #50,000",Modakeke,Android,Home Delivery,No,,"Garri
Rice
Pepper
Onion
Vegetables",Yes,No,,
26 - 35,27,Female,Student,Married,"#120,000","#100,000 - #200,000",Osun,Android,Home Delivery,No,,"Pepper, Vegetables, Plantain, Charcoal, Yam flour, Palm Oil, Fruits",Yes,No,,"Prompt Response, Pricing"
50 and above,57,Male,Farmer,Married,"#155,000","#100,000 - #200,000",Osun,Android,Home Delivery,Yes,Small Scale,Cocoa,Yes,No,,More Profit
18 - 25,23,Male,Student,Single,"#15,000","< #50,000",Ekiti,Android,Home Delivery,No,,"Vegetables,Rice",Yes,Maybe,,
26 - 35,28,Male,Freelance copywriter,Single,"#300,000","#200,000 - #500,000",Ibadan,Android,Home Delivery,No,,"Vegetables,Grains",Yes,No,,"Pricing, Friendly user interface, Impressive logistics"
26 - 35,26,Female,Student,Single,"#20,000","< #50,000",Oyo,Android,Home Delivery,No,,"Beans, yam, potatoes, maize, vegetables",Yes,No,,Community feature
26 - 35,27,Male,Content Creator,Single,"#100,000","#50,000 - #100,000",Osun,Android,Home Delivery,No,,Food stuffs,Yes,No,,Pricing
18 - 25,22,Female,Student,Single,"#20,000","< #50,000",Lagos,Android,Home Delivery,No,,"Plantain, yam",No,No,,
50 and above,58,Male,Farmer,Married,"#45,000","< #50,000",Osun,Android,Market,Yes,Small Scale,"Plaintain, palm oil",Yes,No,,Customer Visibility
18 - 25,24,Male,Business man,Single,"#20,000","< #50,000",Osun,Android,Home Delivery,No,Small Scale,"Grains, tubers ",Yes,No,,
26 - 35,27,Male,Designer,Single,"#320,000","#200,000 - #500,000",Lagos,iPhone,Home Delivery,No,,"Tomatoes, Cucumber, Carrot ",Yes,Yes,Agbedowo,Flexible Payment Integration (API)
26 - 35,25,Female,Medical Doctor,Married,"#250,000","#200,000 - #500,000",Lagos,Android,Home Delivery,No,,Food,Yes,Maybe,,
50 and above,52,Female,Teacher,Married,"#65,000","#50,000 - #100,000",Modakeke,Android,Home Delivery,No,,"
Poultry products",Yes,Yes,WhatsApp,Advertisements
18 - 25,25,Female,Nurse,Single,"#92,500","#50,000 - #100,000",Osun,Android,Market,No,,"Pepper
Fruits
Veggies
All forms of farm produce",Yes,No,,
26 - 35,30,Female,Network marketer,Single,"#255,000","#200,000 - #500,000",Osun,Android,Home Delivery,Yes,Small Scale,Snails,Yes,No,,
50 and above,54,Female,Civil servant,Married,"#200,000","#200,000 - #500,000",Osun,Android,Pick-up,No,,"Gaari, elubo, plantain and banana etc",Yes,Yes,Fendus,Impressive logistics
50 and above,56,Male,Farmer,Married,"#100,000","#50,000 - #100,000",Ife,Android,Home Delivery,Yes,Small Scale,Oil,Yes,No,,
35 - 49,35,Female,Researcher,Married,"#205,500","#200,000 - #500,000",Modakeke,Android,Home Delivery,No,,Vegetables,Yes,No,,Location
18 - 25,19,Female,Student,Single,"#10,000","< #50,000",Osun,Android,Home Delivery,No,,"Potatoes, tomatoes",Yes,No,,
50 and above,57,Male,Farmer,Married,"#120,000","#100,000 - #200,000",Osun,Android,Market,Yes,Middle Scale,"Cocoa, banana ",No,No,,
18 - 25,25,Female,Student,Single,"#1,200,000","> #1,000,000",Ibadan,Android,Home Delivery,No,,"Garri,plantain",Yes,No,,Pricing
18 - 25,24,Female,Student,Single,"#25,000","< #50,000",Osun,Android,Market,No,,Chicken,Yes,No,,
26 - 35,33,Male,Teacher,Single,"#750,000","#500,000 - #1,000,000",Osun,Android,Home Delivery,No,,"Fresh produce, dairy and eggs",Yes,Maybe,,"Products, Price, Description, Reviews and Contact Display"
18 - 25,21,Female,Student,Single,"#45,000","< #50,000",Oyo,iPhone,Home Delivery,No,,Vegetables ,Yes,No,,
26 - 35,30,Female,Student,Married,"#49,250","< #50,000",Lagos,Android,Not Specified,No,,"Fresh produce, dairy and eggs",Yes,Maybe,,Delivery
26 - 35,29,Male,Digital marketer,Single,"#1,045,200","> #1,000,000",Osun,Android,Home Delivery,No,,"Pepper, yam, beans",Yes,Maybe,,
26 - 35,29,Female,Banker,Single,"#45,000","< #50,000",Lagos,Android,Pick-up,No,,Eggs,Yes,No,,
26 - 35,34,Female,Civil servant,Married,"#75,000","#50,000 - #100,000",Abuja,iPhone,Pick-up,No,,Palm oil,Yes,No,,
18 - 25,20,Female,Student,Single,"#12,000","< #50,000",Oyo,Android,Pick-up,No,,"Rice, beans, yam, onions, garri",Yes,Yes,,"Products, Price, Description, Reviews and Contact Display, Community feature"
18 - 25,25,Female,Teacher,Married,"#70,000","#50,000 - #100,000",Lagos,Android,Home Delivery,No,,"Rice, beans, potato, tomatoes",Yes,Yes,Efarmers,"Products, Price, Description, Reviews and Contact Display"
26 - 35,34,Female,,Married,"#1,200,000","> #1,000,000",Lagos,iPhone,Home Delivery,No,,Cocoa,No,Maybe,,
35 - 49,40,Female,Civil servant,Married,"#45,000","< #50,000",Ejigbo,Android,Home Delivery,Yes,Small Scale,Vegetables and fruits ,Yes,No,None,Community feature
26 - 35,34,Female,CNA,Married,"#1,500,000","> #1,000,000",Osun,Android,Market,No,,Maize,Yes,No,,
26 - 35,29,Female,Accountant,Single,"#325,000","#200,000 - #500,000",Oyo,Android,Home Delivery,No,,"Eggs, milk",Yes,No,,"Products, Price, Description, Reviews and Contact Display, Pay on Delivery"
26 - 35,32,Female,Entrepreneur,Single,"#62,000","#50,000 - #100,000",Lagos,iPhone,Home Delivery,No,,Fruits and Vegetables,Yes,Yes,MarketNG,Free Delivery
50 and above,54,Male,Farmer,Married,"#90,000","#50,000 - #100,000",Osun,Android,Home Delivery,Yes,Small Scale,Cocoa and Kola,Yes,No,,
26 - 35,30,Male,Teacher,Single,"#75,000","#50,000 - #100,000",Osun,Android,Home Delivery,No,,"Peppers, Vegetables, Chicken, Pork, some cash crops, etc",Yes,Yes,Neogric,Price
50 and above,50,Male,Teacher,Married,"#75,000","#50,000 - #100,000",Osun,Android,Home Delivery,Yes,Small Scale,Maize,Yes,No,,
18 - 25,24,Female,Student,Single,"#250,000","#200,000 - #500,000",Lagos,Android,Home Delivery,Yes,Small Scale,"Cocoa, Banana, Maize",,No,,
26 - 35,33,Female,Farmer,Married,"#160,000","#100,000 - #200,000",Ejigbo,Android,Home Delivery,Yes,Middle Scale,"Goats, Sheeps, pigs, chicken (broiler and layers), eggs and vegs",Yes,Yes,,Community feature
26 - 35,30,Female,,Married,"#200,000","#100,000 - #200,000",Ife,Android,Home Delivery,Yes,Small Scale,Pork,Yes,No,,Pricing
26 - 35,28,Female,,Single,"#85,000","#50,000 - #100,000",Ejigbo,Android,Pick-up,Yes,Small Scale,Snails,Yes,No,,
26 - 35,27,Female,,Married,"#100,00","#50,000 - #100,000",Abuja,Android,Market,Yes,Small Scale,"Cucumber, cassava, vegetable(ugwu), okro, pepper, yam",Yes,No,,
26 - 35,34,Female,Farmer,Married,"#500,000","#200,000 - #500,000",Abuja ,Android,Market,Yes,Middle Scale,"Cassava, maize, okra",Yes,No,,Pricing
26 - 35,29,Female,,Married,"#64,000","#50,000 - #100,000",Modakeke ,Android,Home Delivery,Yes,Small Scale,"Pigs: Duroc, F1 pigs",Yes,No,,Connect to other social Platforms
18 - 25,23,Female,,Single,"#35,000","< #50,000",Osun ,iPhone,Home Delivery,Yes,Small Scale,"Pepper, Corn, Tomato, pigs, chicken and goat",Yes,No,,Farmer Visibility
26 - 35,28,Female,Unemployed,Married,"#20,000","< #50,000",Modakeke ,iPhone,Home Delivery,No,,Goat meat,Yes,No,,
50 and above,57,Female,Nurse,Married,"#155,000","#100,000 - #200,000",Osun,Android,Market,No,,Groceries and Fruits,Yes,No,,
26 - 35,34,Male,Butcher,Married,"#250,000","#200,000 - #500,000",Osun,Android,Market,Yes,Large Scale,Cow Meat,Yes,No,,
18 - 25,21,Male,Student,Single,"#35,000","< #50,000",Ejigbo,Android,Pick-up,No,,Groceries and Fruits,Yes,Yes,Efarmers,Pricing
26 - 35,28,Female,Farmer,Married,"#84,000","#50,000 - #100,000",Lagos,iPhone,Pick-up,Yes,Small Scale,"Sheep,eggs, vegetables",Yes,No,,
35 - 49,35,Female,,Married,"#65,000","#50,000 - #100,000",Ibadan,Android,Market,No,,"Onion, tomatoes, potatoes",Yes,No,,
26 - 35,31,Female,,Married,"#190,000","#100,000 - #200,000",Osun,Android,Home Delivery,No,,"Okra, banana",Yes,No,,Advertising
35 - 49,36,Male,,Married,"#75,000","#50,000 - #100,000",Ife,Android,Home Delivery,No,,Vegetables,Yes,No,,
18 - 25,19,Female,Unemployed,Single,"#450,000","#200,000 - #500,000",Ibadan,Android,Home Delivery,No,,"Potatoes, tomatoes",Yes,No,,
26 - 35,33,Male,Medical Doctor,Single,"#1,000,000","> #1,000,000",Ejigbo,Android,Home Delivery,No,,Cassava,Yes,No,,Description
26 - 35,27,Male,Mechanic,Married,"#175,000","#100,000 - #200,000",Osun,Android,Home Delivery,No,,Okra,Yes,Yes,WhatsApp,
18 - 25,24,Female,Assisstant,Single,"#75,000","#50,000 - #100,000",Modakeke,Android,Pick-up,No,,Fruits and Vegetables,Yes,Yes,,Forum
50 and above,51,Female,Farmer,Married,"#320,000","#200,000 - #500,000",Lagos ,Android,Market,Yes,Small Scale,Corn,Yes,Yes,,
